Date,Open,High,Low,Close,Volume,Market Cap,Volume (adjusted)
30-Sep-17,4166.11,4358.43,4160.86,4338.71,"1,207,450,000","69,136,600,000",12074.5
29-Sep-17,4171.62,4214.63,4039.29,4163.07,"1,367,050,000","69,219,200,000",13670.5
28-Sep-17,4197.13,4279.31,4109.7,4174.73,"1,712,320,000","69,633,200,000",17123.2
27-Sep-17,3892.94,4210.05,3884.82,4200.67,"1,686,880,000","64,579,200,000",16868.8
26-Sep-17,3928.41,3969.89,3869.9,3892.35,"1,043,740,000","65,161,000,000",10437.4
25-Sep-17,3681.58,3950.25,3681.58,3926.07,"1,374,210,000","61,061,100,000",13742.1
24-Sep-17,3796.15,3796.15,3666.9,3682.84,"768,015,000","62,954,300,000",7680.15
23-Sep-17,3629.92,3819.21,3594.58,3792.4,"928,114,000","60,190,000,000",9281.14
22-Sep-17,3628.02,3758.27,3553.53,3630.7,"1,194,830,000","60,152,300,000",11948.3
21-Sep-17,3901.47,3916.42,3613.63,3631.04,"1,411,480,000","64,677,600,000",14114.8
20-Sep-17,3916.36,4031.39,3857.73,3905.95,"1,213,830,000","64,918,500,000",12138.3
19-Sep-17,4073.79,4094.07,3868.87,3924.97,"1,563,980,000","67,520,300,000",15639.8
18-Sep-17,3591.09,4079.23,3591.09,4065.2,"1,943,210,000","59,514,100,000",19432.1
17-Sep-17,3606.28,3664.81,3445.64,3582.88,"1,239,150,000","59,757,800,000",12391.5
16-Sep-17,3637.75,3808.84,3487.79,3625.04,"1,818,400,000","60,271,600,000",18184
15-Sep-17,3166.3,3733.45,2946.62,3637.52,"4,148,070,000","52,453,500,000",41480.7
14-Sep-17,3875.37,3920.6,3153.86,3154.95,"2,716,310,000","64,191,600,000",27163.1
13-Sep-17,4131.98,4131.98,3789.92,3882.59,"2,219,410,000","68,432,200,000",22194.1
12-Sep-17,4168.88,4344.65,4085.22,4130.81,"1,864,530,000","69,033,400,000",18645.3
11-Sep-17,4122.47,4261.67,4099.4,4161.27,"1,557,330,000","68,256,000,000",15573.3
10-Sep-17,4229.34,4245.44,3951.04,4122.94,"1,679,090,000","70,018,100,000",16790.9
9-Sep-17,4229.81,4308.82,4114.11,4226.06,"1,386,230,000","70,017,200,000",13862.3
